Segment,Error_Code,Error_ID,Description
FO,16627,e$invalid_contract_comb,Invalid contract combination.
FO,16628,e$bm_cannot_cancel_cm_orders,Branch manager cannot cancel corporate manager‟s order.
FO,16629,e$bm_cannot_cancel_bm_orders,Branch manager cannot cancel other branch manager‟s order.
FO,16630,e$cm_cannot_cancel_cm_orders,Corporate manager cannot cancel other corporate manager‟s order.
FO,16631,e$spread_in_different_underlying,Spread not allowed for different underlying.
FO,16632,e$invalid_cli_ac,Cli A/c number cannot be modified as trading member ID.
FO,16636,e$br_ord_limit_fut_buy_exceeded,Futures buy branch Order Value Limit has been exceeded.
FO,16637,e$br_ord_limit_fut_sell_exceeded,Futures sell branch Order Value Limit has been exceeded.
FO,16638,e$br_ord_limit_opt_buy_exceeded,Options buy branch Order Value Limit has been exceeded.
FO,16639,e$br_ord_limit_opt_sell_exceeded,Options sell branch Order Value Limit has been exceeded.
FO,16640,e$ur_ord_limit_fut_buy_exceeded,Futures buy used limit execeeded the user limit.
FO,16641,e$ur_ord_limit_fut_sell_exceeded,Futures sell used limit execeeded the user limit.
FO,16642,e$ur_ord_limit_opt_buy_exceeded,Options buy used limit execeeded the user limit.
FO,16643,e$ur_ord_limit_opt_sell_exceeded,Options sell used limit execeeded the user limit.
FO,16645,e$cant_appr_bhav_copy_generated,Cannot approve. Bhav Copy generated.
FO,16646,e$Collateral_Lmt_Chk,Cannot modify.
FO,16656,e$address_not_found,No address in the database.
FO,16662,e$stk_in_popen,Contract is opening. Please wait for the contract to open.
FO,16666,e$invalid_nnf_field,Invalid NNF field.
FO,16667,e$gtcgtd_not_allowed,GTC GTD Orders not allowed.
FO,16686,CLOSEOUT_ORDER_REJECT,This error code will be returned if Close out order rejected by the system.
FO,16687,CLOSEOUT_FRZ_REJECT,This error code will be returned if the close out order entered is going into freeze. (Since Freeze is not allowed for close out orders)
FO,16688,CLOSEOUT_NOT_ALLOWED,This error code will be returned if the close out order is not allowed in the system.
FO,16690,CLOSEOUT_TRDMOD_REJECT,This error code will be returned when a Trade MOD request is placed by a broker in Close-out.
FO,16706,PARTIAL_ORDER_REJECT,Cancelled by the System
FO,16708,PARTIAL_QUICK_ORDER_CXL_REJ,System Error. Orders not completely cancelled by the system. Please request Quick CXL again
FO,16713,e$price_diff_out_of_range,Price difference is beyond Operating Range.
FO,16793,e$vc_order_rejected,Order Entered has invalid data.
FO,16794,e$ssd_order_rejected,Order Entered has invalid data.
FO,16795,e$order_cancelled_for_vc,Order cancelled mdue to voluntary close out.
FO,16796,e$order_cancelled_for_ssd,Order cancelled due to OI violation.
FO,16803,e$bo_price_out_of_range,Bulk Order rejected due to price freeze.
FO,16804,e$bo_excess_quantity, Bulk Order rejected due to quantity Freeze.
FO,16805,e$user_ineligible_for_bulk_orders,Trader not eligible for Bulk Order.
FO,16806,e$user_not_allowed_for_regular,Trader allowed to enter only Bulk Order.
FO,16807,e$account_debarred,The Account is Debarred by Exchange.
FO,17039,EC_TRD_MOD_REJ_CLI_CP_MOD_NOT_ALLOWED,Client code/Participant modification not allowed
FO,17045,ERROR_QUANTITY_LIM_EXCEEDS_QTY_VAL_LIM,Order Quantity Exceeds Quantity Value Limit for User.
FO,17048,USER_TRD_MOD_DISABLED,Trade Modification Not Allowed for User.
FO,17070,e$trd_price_out_of_stock_tpp,The Price is out of the current execution range
CD,293,INVALID_INSTRUMENT_TYPE,Invalid instrument type.
CD,509,ORDER_NUMBER_INVALID,Order does not exit.
CD,8049,ORD_CXL_INITIATOR_AUC_NOT_ALLOWED,Initiator is not allowed to cancel auction order.
CD,8485,AUCTION_NUMBER_INVALID,Auction number does not exit
CD,16000,MARKET_CLOSED,The trading system is not available for trading.
CD,16001,e$invalid_user,Header user ID is not equal to user ID in the order packet.
CD,16003,OE_BAD_TRANS_CODE,System error was encountered. Please call the Exchange.
CD,16004,e$user_already_signed_on,The user is already signed on.
CD,16005,e$invalid_signoff,System error while trying to sign-off. Please call the Exchange.
CD,16006,e$invalid_signon,Invalid sign-on. Please try again.
CD,16007,e$signon_not_possible,Signing onto the trading system is restricted. Please try later on.
CD,16011,e$duplicate_report_request,This report has already been requested.
CD,16012,ERR_INVALID_SYMBOL,Invalid contract descriptor
CD,16014,e$not_your_order,This order is not yours.
CD,16015,e$not_your_fill,This trade is not yours.
CD,16016,e$invalid_fill_number,Invalid trade number.
CD,16019,e$stock_not_found,Stock not found.
CD,16035,SECURITY_NOT_AVAILABLE,Security is unavailable for trading at this time. Please try later.
CD,16041,BROKER_NOT_FOUND,Trading member does not exit in the system.
CD,16042,USER_NOT_FOUND,Dealer does not exist in the system.
CD,16043,DUPLICATE_RECORD,This record already exits on the NEAT system.
CD,16044,e$order_modified,Order has been modified. Please try again.
CD,16049,STOCK_SUSPENDED,Stock is suspended.
CD,16052,ERR_FUNCTION_NOT_AVAILABLE,Function Not Available
CD,16053,e$change_password,"Your password has expired, must be changed."
CD,16054,ERR_INVALID_BRANCH,Invalid branch for trading member.
CD,16056,OE_PROGRAM_ERROR,Program error.
CD,16086,e$dup_trd_cxl_request,Duplicate trade cancel request.
CD,16098,ERR_INVALID_BUYER_USER_ID,Invalid trader ID for buyer.
CD,16099,ERR_INVALID_SELLER_USER_ID,Invalid trader ID for buyer.
CD,16100,e$invalid_version,Your system version has not been updated.
CD,16104,OE_SYSTEM_ERROR,System could not complete your transaction - Admin notified.
CD,16148,ERR_INVALID_USER_ID,Invalid Dealer ID entered.
CD,16154,ERR_INVALID_TRADER_ID,Invalid Trader ID entered.
CD,16169,OE_ATO_IN_OPEN,Order priced ATO cannot be entered when a security is open.
CD,16198,e$dup_request,Duplicate modification or cancellation request for the same trade has been encountered.
CD,16227,e$only_cp_allowed,Only market orders are allowed in postclose.
CD,16228,e$sl_mit_nt_not_allowed_pclose,"SL, MIT or NT orders are not allowed during Post Close."
CD,16229,e$gtc_gtd_ord_not_allowed_pclose,GTC GTD or GTDays orders are Not Allowed during Post Close.
CD,16230,OE_CONT_MOD_NOT_ALLOWED,Continuous session orders cannot be modified.
CD,16231,TRD_CONT_MOD_NOT_ALLOWED,Continuous session trades cannot be changed.
CD,16233,STR_PRO_PARTIVIPANT_INVALID,Proprietary requests cannot be made for participant.
CD,16251,OE_DIFF_TRD_MOD_VOL,Trade modification with different quantities is received.
CD,16273,RECORD_NOT_FOUND,Record does not exit.
CD,16278,OE_MARKETS_CLOSED,The markets have not been opened for trading.
CD,16279,OE_SECURITY_NOT_ADMITTED,The contract has not yet been admitted for trading.
CD,16280,OE_SECURITY_MATURED,The Contract has matured.
CD,16281,OE_SECURITY_EXPELLED,The security has been expelled.
CD,16282,OE_ISSUED_CAP_EXCEEDS,The order quantity is greater than the issued capital.
